"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","534","Carrito vacio - debe mostrar tabla vacia","chromium","2026-09-19","passed","2026-09-19","","tienda.spec.ts","",""
"","4296","3. Checkout completo","chromium","2026-09-19","passed","2026-09-19","Flujo E2E DemoBlaze - Reporte Completo","tienda.spec.ts","",""
"","2320","should show error when user already exists on signup","firefox","2026-09-19","passed","2026-09-19","","tienda.spec.ts","",""
"","1529","should filter by Laptops category","chromium","2026-09-19","passed","2026-09-19","Categories & Carousel","catalogo.spec.ts","",""
"","1750","should filter by Laptops category","firefox","2026-09-19","passed","2026-09-19","Categories & Carousel","catalogo.spec.ts","",""
"","1151","compra completa con POM","firefox","2026-09-19","passed","2026-09-19","","purchase.pom.spec.ts","",""
"","6446","3. Checkout completo","firefox","2026-09-19","passed","2026-09-19","Flujo E2E DemoBlaze - Reporte Completo","tienda.spec.ts","",""
"","2421","modales About us y Contact deben abrir y cerrar","firefox","2026-09-19","passed","2026-09-19","Demoblaze Auth & UI","auth.spec.ts","",""
"","2905","1. Login","webkit","2026-09-19","passed","2026-09-19","Flujo E2E DemoBlaze - Reporte Completo","tienda.spec.ts","",""
"","2134","modales About us y Contact deben abrir y cerrar","chromium","2026-09-19","passed","2026-09-19","Demoblaze Auth & UI","auth.spec.ts","",""
"","653","login con usuario bloqueado debe mostrar error","firefox","2026-09-19","passed","2026-09-19","","login-error.pom.spec.ts","",""
"","1198","la tienda debe cargar y mostrar productos","webkit","2026-09-19","passed","2026-09-19","","tienda.spec.ts","",""
"","2632","should filter by Phones category","webkit","2026-09-19","passed","2026-09-19","Categories & Carousel","catalogo.spec.ts","",""
"","544","usuario puede agregar producto al carrito","chromium","2026-09-19","passed","2026-09-19","","e2e.spec.ts","",""
"","3263","4. Validacion de precios","firefox","2026-09-19","passed","2026-09-19","Flujo E2E DemoBlaze - Reporte Completo","tienda.spec.ts","",""
"","1963","1. Login","firefox","2026-09-19","passed","2026-09-19","Flujo E2E DemoBlaze - Reporte Completo","tienda.spec.ts","",""
"","1363","compra completa con POM","webkit","2026-09-19","passed","2026-09-19","","purchase.pom.spec.ts","",""
"","3783","compra completa debe mostrar Thank you for your purchase","firefox","2026-09-19","passed","2026-09-19","","tienda.spec.ts","",""
"","1331","usuario puede agregar producto al carrito","webkit","2026-09-19","passed","2026-09-19","","e2e.spec.ts","",""
"","3985","modales About us y Contact deben abrir y cerrar","webkit","2026-09-19","passed","2026-09-19","Demoblaze Auth & UI","auth.spec.ts","",""
"","473","login con POM","chromium","2026-09-19","passed","2026-09-19","","login.pom.spec.ts","",""
"","992","filtrado por categoria Laptops debe mostrar productos","firefox","2026-09-19","passed","2026-09-19","","catalogo.spec.ts","",""
"","3369","compra completa debe mostrar Thank you for your purchase","chromium","2026-09-19","passed","2026-09-19","","tienda.spec.ts","",""
"","654","API - Crear y loguear usuario @api","firefox","2026-09-19","passed","2026-09-19","","api.spec.ts","",""
"","1972","should show error when user already exists on signup","chromium","2026-09-19","passed","2026-09-19","","tienda.spec.ts","",""
"","1498","1. Login","chromium","2026-09-19","passed","2026-09-19","Flujo E2E DemoBlaze - Reporte Completo","tienda.spec.ts","",""
"","2023","should not allow purchase with empty cart - validation","webkit","2026-09-19","passed","2026-09-19","","tienda.spec.ts","",""
"","5318","3. Checkout completo","webkit","2026-09-19","passed","2026-09-19","Flujo E2E DemoBlaze - Reporte Completo","tienda.spec.ts","",""
"","862","login con usuario bloqueado debe mostrar error","webkit","2026-09-19","passed","2026-09-19","","login-error.pom.spec.ts","",""
"","413","login con usuario bloqueado debe mostrar error","chromium","2026-09-19","passed","2026-09-19","","login-error.pom.spec.ts","",""
